items_edmTimespanLabelLangAware_def,items_dcCreator,items_type,items_edmPreview,items_country,items_id,items_title,items_dataProvider
19,"Winkler, Gerhard. Auteur ou responsable intellectuel Wells, Robert. Auteur ou responsable intellectuel Wayne, Dorothy. Auteur ou responsable intellectuel Watson, Deek. Auteur ou responsable intellectuel Turner, John (19..-.... ; auteur de chansons). Auteur ou responsable intellectuel Turk, Roy (1892-1934). Auteur ou responsable intellectuel Troup, Bobby (1918-1999). Auteur ou responsable intellectuel Tormé, Mel (1925-1999). Auteur ou responsable intellectuel Strayhorn, Billy (1915-1967). Auteur ou responsable intellectuel Stein, Willie. Auteur ou responsable intellectuel Sosenko, Anna. Auteur ou responsable intellectuel Singleton, Charles. Auteur ou responsable intellectuel Sigman, Carl. Auteur ou responsable intellectuel Sherman, Noël. Auteur ou responsable intellectuel Sherman, Joe. Auteur ou responsable intellectuel Russell, Bob. Auteur ou responsable intellectuel Rose, Billy (1899-1966). Auteur ou responsable intellectuel Redi, P. G.. Auteur ou responsable intellectuel Rauch. Auteur ou responsable intellectuel Rasch, Ray. Auteur ou responsable intellectuel Porter, Cole (1892-1964). Auteur ou responsable intellectuel Parsons, Geoffrey (1910-1987). Auteur ou responsable intellectuel Parman, Cliff. Auteur ou responsable intellectuel Parker, Bobby (1937-....). Auteur ou responsable intellectuel Parish, Mitchell (1900-1993). Auteur ou responsable intellectuel Parish, Mitchell (1900-1993). Auteur ou responsable intellectuel Otis, Clyde (1924-2008). Auteur ou responsable intellectuel Mills, Irving (1894-1985). Auteur ou responsable intellectuel McCoy, Rose Marie (1922-2015). Auteur ou responsable intellectuel Lippman, Sidney (1914-2003). Auteur ou responsable intellectuel Lee, Lester (1905-1956). Auteur ou responsable intellectuel Lavere, Charles. Auteur ou responsable intellectuel Jones, Ollie. Auteur ou responsable intellectuel John, Dominic. Auteur ou responsable intellectuel Jenkins, Gordon (1910-1984). Auteur ou responsable intellectuel Hester, Hal. Auteur ou responsable intellectuel Hendricks, B.. Auteur ou responsable intellectuel Harburg, E. Y. (1896-1981). Auteur ou responsable intellectuel Handy, William Christopher (1873-1958). Auteur ou responsable intellectuel Gordon, Irving. Auteur ou responsable intellectuel George, Don. Auteur ou responsable intellectuel Gallop, Sammy (1915-1971). Auteur ou responsable intellectuel Galdieri, Michele (1902-1965). Auteur ou responsable intellectuel Galan, Pacho. Auteur ou responsable intellectuel Douglas, Larry. Auteur ou responsable intellectuel Dobbins, Shelly. Auteur ou responsable intellectuel De Lugg, Milton. Auteur ou responsable intellectuel Dee, Sylvia. Auteur ou responsable intellectuel Cornelius, H.. Auteur ou responsable intellectuel Conn, Chester. Auteur ou responsable intellectuel Cole, Nat King (1917-1965). Auteur ou responsable intellectuel Clifford, Gordon (1902-1968). Auteur du texte Chaplin, Charles (1889-1977). Auteur ou responsable intellectuel Carmichael, Hoagy (1899-1981). Auteur ou responsable intellectuel Burwell, Cliff (1898-1976). Auteur ou responsable intellectuel Brown, Nacio Herb (1896-1964). Auteur ou responsable intellectuel Best, William. Auteur ou responsable intellectuel Benton, Brook (1931-1988). Auteur ou responsable intellectuel Barnes, Howard. Auteur ou responsable intellectuel Cole, Nat King (1917-1965). Interprète http://data.europeana.eu/agent/base/154582 http://data.europeana.eu/agent/base/159956 http://data.europeana.eu/agent/base/67808 http://data.europeana.eu/agent/base/49085 http://data.europeana.eu/agent/base/63028 http://data.europeana.eu/agent/base/148541 http://data.europeana.eu/agent/base/147047 http://data.europeana.eu/agent/base/91054 http://data.europeana.eu/agent/base/61804 http://data.europeana.eu/agent/base/81601 http://data.europeana.eu/agent/base/155702 http://data.europeana.eu/agent/base/22483 http://data.europeana.eu/agent/base/33904 http://data.europeana.eu/agent/base/150033 http://data.europeana.eu/agent/base/62475 http://data.europeana.eu/agent/base/60569 http://data.europeana.eu/agent/base/61519 http://data.europeana.eu/agent/base/61710 http://data.europeana.eu/agent/base/13626 http://data.europeana.eu/agent/base/66557 http://data.europeana.eu/agent/base/63927",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802100h.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8802100h,"THE Nat King Cole Story / Nat King Cole, chant et Orchestre",Bibliothèque nationale de France
1953,"Philippe Halsman, 1906, Riga, Latvia - 1979, New York",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmuseum.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FHalsman%7EB99_1669_1.jpg&size=LARGE&type=IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_220221,Dalí Mona Lisa,"The Israel Museum, Jerusalem"
1965,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FB99_1615.jpg&size=LARGE&type=IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219738,L.H.O.O.Q Shaved,"The Israel Museum, Jerusalem"
1965,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FDuchamp%7EB99_1616.jpg&size=LARGE&type=IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219739,Picabia's Mona Lisa,"The Israel Museum, Jerusalem"
1867,"Hotelin, Laurent (19 w.), grafik-drzeworytnik",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bibliotekacyfrowa.pl%2FContent%2F14622%2F0092_0001.djvu&size=LARGE&type=IMAGE,poland,/0940429/_nnnX7sX,"Joconde, ryc. LXXXIII",Biblioteka Cyfrowa Uniwersytetu Wrocławskiego
1981,"Balcerowicz, Jerzy",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fpbc.gda.pl%2FContent%2F19793%2F05.mp3&size=LARGE&type=SOUND,poland,/0940417/_nnbhn5d,Leonardo i Mona Lisa [dokument dźwiękowy],Pomorska Biblioteka Cyfrowa
1870,nieznany,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F2459%2Fdi56783.jpg&size=LARGE&type=IMAGE,poland,/0940409/_nntr6sf,"""Lionardo da Vinci. Portrait de Mona Lisa (La Joconde)"" [""Portret Mony Lizy"", obraz Leonarda da Vinci (olej, 1503-1505) z kolekcji Muzeum Luwru]; 
fotografia z serii: ""La Galerie de tableaux du musée impérial du Louvre à Paris. Photographies d'après les tableaux originaux...""",Cyfrowe Muzeum Narodowe w Warszawie
1939,"Janisch, Jerzy (1901-1962)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F34809%2Frysw190.jpg&size=LARGE&type=IMAGE,poland,/0940409/_nn0Wq58,Mona Lisa w sleepingu,Cyfrowe Muzeum Narodowe w Warszawie
2007,"Piątkowski, Jerzy (1943- )",TEXT,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmbc.malopolska.pl%2FContent%2F5789%2Fp0025.djvu&size=LARGE&type=TEXT,poland,/0940433/_nnhdRT1,Rendez-vous z Mona Lisą,Małopolska Biblioteka Cyfrowa
2017,"Liaci, Emanuela Institut für Grenzgebiete der Psychologie und Psychohygiene",TEXT,,germany,/2048441/item_CMR3LPDTGATOJV4LBQGS4VVCZ5TS4SL2,Mona Lisa is always happy - and only sometimes sad,Deutsche Nationalbibliothek
2004,"Meier, Michael",TEXT,,germany,/2048425/item_DQSI2IBLW263HBZK6S2WLDFFXUTVX6BB,Das Mona Lisa Problem - methodische Anmerkungen zur Verbalisierung von 'Sozial Leisem',GESIS - Leibniz-Institut für Sozialwissenschaften. Bibliothek Köln
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005558.jpg&size=LARGE&type=IMAGE,germany,/2048411/item_623QAD4PD3EVYYJSGA23CYBEIUSCSJ2N,"Museum Louvre, Mona Lisa hinter Panzerglas, im Visier von Amateur-Digitalfotografen aus aller Welt",Deutsche Fotothek
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005556.jpg&size=LARGE&type=IMAGE,germany,/2048416/item_PWW34CFKN6MK7O2TD25VQ6L2IALBX77O,"Museum Louvre, Besucher vor dem Bild der Mona Lisa von Leonardo da Vinci",Deutsche Fotothek
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005562.jpg&size=LARGE&type=IMAGE,germany,/2048409/item_I6SMQIKEHW653BZXBZBINVQ6LVD7HY2M,"Museum Louvre, Mona Lisa als Ziel für Amateurfotografen aus allen Ländern, die in langer Schlange vor dem Bild warten",Deutsche Fotothek
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005555.jpg&size=LARGE&type=IMAGE,germany,/2048419/item_OPLRCRD7N4KU2NGZIZ56DNUNTKY2LVP5,"Museum Louvre, Besucher fotografieren vor dem Bild der Mona Lisa",Deutsche Fotothek
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005559.jpg&size=LARGE&type=IMAGE,germany,/2048410/item_LG26KH6BU3JZBNLKDLK5WNR7ZXF7AWJ2,"Museum Louvre, Mona Lisa hinter Panzerglas, im Visir von Digitalfotografen",Deutsche Fotothek
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005563.jpg&size=LARGE&type=IMAGE,germany,/2048410/item_IMZTQ2QDKR5U6QGAPDT6V4HPAO7WBWCP,"Museum Louvre, Mona Lisa als Ziel für Digitalfoto-Amateure",Deutsche Fotothek
1977,"Jansong, Joachim",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fhauptkatalog%2F0190000%2Fdf_hauptkatalog_0190407.jpg&size=LARGE&type=IMAGE,germany,/2048408/item_KYHBJXWNWCRNAI4TVYOLF2B5UHI3I4D7,Mona Lisa - 2000,Deutsche Fotothek
2012,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstatics.ccma.cat%2Fmultimedia%2Fjpg%2F3%2F4%2F1349886400243.jpg&size=LARGE&type=VIDEO,spain,/2051922/data_euscreenXL_4282073,Divendres: Origens catalans de la Mona Lisa,TV3 Televisió de Catalunya (TVC)
2012,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstatics.ccma.cat%2Fmultimedia%2Fjpg%2F0%2F1%2F1349275503810.jpg&size=LARGE&type=VIDEO,spain,/2051922/data_euscreenXL_4270890,Buscant el rastre de la Mona Lisa,TV3 Televisió de Catalunya (TVC)
2011,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstatics.ccma.cat%2Fmultimedia%2Fjpg%2F4%2F0%2F1297171795804.jpg&size=LARGE&type=VIDEO,spain,/2051922/data_euscreenXL_3359890,Els matins: Noves revelacions sobre la Gioconda: Està inspirada en l'amant de Da Vinci,TV3 Televisió de Catalunya (TVC)
1870,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F2459%2Fdi56783.jpg&size=LARGE&type=IMAGE,poland,/094041/_nntr6sf,"""Lionardo da Vinci. Portrait de Mona Lisa (La Joconde)"" [""Portret Mony Lizy"", obraz Leonarda da Vinci (olej, 1503-1505) z kolekcji Muzeum Luwru]; 
fotografia z serii: ""La Galerie de tableaux du musée impérial du Louvre à Paris. Photographies d'après les tableaux originaux...""",Muzeum Narodowe w Warszawie
1939,"Janisch, Jerzy (1901-1962)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F34809%2Frysw190.jpg&size=LARGE&type=IMAGE,poland,/094041/_nn0Wq58,Mona Lisa w sleepingu,Muzeum Narodowe w Warszawie
2006,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkeyframe.nava.hu%2Fallframe%2F2006%2F04%2F02%2Fm1-3026%2Fm1-3026-00454500.jpg&size=LARGE&type=VIDEO,hungary,/2051912/data_euscreenXL_81106,A Nap-kelte sztárszínpadán a Mona Lisa együttes,NAVA
1974,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fgfx.nrk.no%2FPbU3ihJjSY-KH_VEQG0cYwczA9cIakUTmkdaTe-KOCJg&size=LARGE&type=VIDEO,norway,/2051944/data_euscreenXL_5002237,Oslo: Utstillingen Kvinnens Verden 17. mai. 1956 · Filmavisen 1956,NRK
1973,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_rtp%2Fvideo%2FEUS_B1F792BB888A704E5180AD9BEAA05033%2Fimage.jpg&size=LARGE&type=VIDEO,portugal,/2051938/data_euscreenXL_EUS_B1F792BB888A704E5180AD9BEAA05033,Divulgação da Arquitectura Promoting Arquitecture As Pedras e o Homem Clip title:  SERIES TITLE: Stones and Man Season:1 Episode:1,RTP
1970,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages3.noterik.com%2Fdomain%2Feuscreenxl%2Fuser%2Feu_rte%2Fvideo%2FEUS_2C797A617EDB05DA67759D44B125535C%2Fshots%2F1%2Fh%2F0%2Fm%2F0%2Fsec30.jpg&size=LARGE&type=VIDEO,ireland,/2051925/data_euscreenXL_EUS_2C797A617EDB05DA67759D44B125535C,Neil Jordan Plays Guitar Clip title: Neil Jordan Plays Guitar in Opening Sequence SERIES TITLE: Anthology Anthology,RTÉ
2013,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F184%2F475%2F5%2F9e5e93f8d8d49400074ce5a520d41d7c%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,belgium,/2051911/data_euscreenXL_1844755,Qui est vraiment Mona Lisa ?,RTBF
2013,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F184%2F472%2F8%2Fe3744ecd0926f37929b0333ffc2eb23f%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,belgium,/2051911/data_euscreenXL_1844728,Qui est vraiment Mona Lisa ?,RTBF
2012,,VIDEO,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F160%2F503%2F3%2F63f12ee0d64223de4dc1cf598ae0622b%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,belgium,/2051911/data_euscreenXL_1605033,Une copie de la Joconde à Madrid - Mona Lisa plus jeune et plus souriante: une toile de Léonard de Vinci a été découverte dans les réserves du Prado.,RTBF
1911,"http://imslp.org/wiki/Category:Różycki,_Ludomir",TEXT,,netherlands,/2059210/data_sounds_http___imslp_org_wiki_Mona_Lisa_Gioconda__Op_29__R__ycki__Ludomir_,"Mona Lisa Gioconda, Op.29 (Różycki, Ludomir)",IMSLP/Petrucci Music Library
1911,MAURICE-LOUIS BRANGER (1874-1950),IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feuropeana.parisiennedephotographie.fr%2FSSEU%2FFiles%2Fd3d8e784f76d49ac58ba4a7c3663a281635c83709fdbdc96d705f4ea39462ff5&size=LARGE&type=IMAGE,france,/2024913/photography_ProvidedCHO_Parisienne_de_Photographie_72467_24,Vol de la Joconde,Parisienne de Photographie
1911,MAURICE-LOUIS BRANGER (1874-1950),IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Feuropeana.parisiennedephotographie.fr%2FSSEU%2FFiles%2F9fdd6afd5d9ecacd7f3f53cdffbd507934f8c3fcec91fbdc5a83d3f14c0b8b71&size=LARGE&type=IMAGE,france,/2024913/photography_ProvidedCHO_Parisienne_de_Photographie_72467_23,La Joconde,Parisienne de Photographie
2012,The Whybirds,SOUND,,netherlands,/2059210/data_sounds_whybirds2012_02_03_cmc2,The Whybirds Live at Danny's Bar on 2012-02-03 2012-02-03 - Danny's Bar 2012-02-03 - Danny's Bar,Internet Archive
2010,The Whybirds,SOUND,,netherlands,/2059210/data_sounds_whybirds2010_07_16_cmc2,The Whybirds Live at The Troubadour on 2010-07-16 2010-07-16 - The Troubadour,Internet Archive
2010,The Whybirds,SOUND,,netherlands,/2059210/data_sounds_whybirds2010_01_31_cmc2,The Whybirds Live at The Barfly on 2010-01-31 2010-01-31 - The Barfly,Internet Archive
2009,The Whybirds,SOUND,,netherlands,/2059210/data_sounds_whybirds2009_11_07_cmc2,The Whybirds Live at The Garage on 2009-11-07 2009-11-07 The Garage,Internet Archive
2009,The Whybirds,SOUND,,netherlands,/2059210/data_sounds_whybirds2009_07_25_at933,The Whybirds Live at Water Rats on 2009-07-25 2009-07-25 - Water Rats,Internet Archive
2009,The Whybirds,SOUND,,netherlands,/2059210/data_sounds_whybirds2009_02_19_at933_flac16,The Whybirds Live at South Of The Border on 2009-02-19 2009-02-19 - South Of The Border,Internet Archive
2010,Mother Hips,SOUND,,netherlands,/2059210/data_sounds_mh2010_04_10_matrix,Mother Hips Live at The Coach House on 2010-04-10 2010-04-10 - The Coach House 2010-04-10 - The Coach House,Internet Archive
2011,Guster http://data.europeana.eu/agent/base/148438,SOUND,,netherlands,/2059210/data_sounds_guster2011_11_25_km201_flac24,Guster Live at Wellmont Theatre on 2011-11-25 2011-11-25 - Wellmont Theatre,Internet Archive
2007,Guster http://data.europeana.eu/agent/base/148438,SOUND,,netherlands,/2059210/data_sounds_guster2007_10_05_flac16,"Guster Live at University of Rochester on 2007-10-05 2007-10-05 University of Rochester Rochester, NY",Internet Archive
2000,Guster http://data.europeana.eu/agent/base/148438,SOUND,,netherlands,/2059210/data_sounds_guster2000_07_02_shnf,Guster Live at Viv's House on 2000-07-02 2000-07-02 - Viv's House 2000-07-02 - Viv's House,Internet Archive
1997,Guster http://data.europeana.eu/agent/base/148438,SOUND,,netherlands,/2059210/data_sounds_guster1997_12_08_flac16,Guster Live at College of the Holy Cross on 1997-12-08 1997-12-08 - College of the Holy Cross 1997-12-08 - College of the Holy Cross,Internet Archive
2003,Guster http://data.europeana.eu/agent/base/148438,SOUND,,netherlands,/2059210/data_sounds_gus2003_03_27_c1000_shnf,Guster Live at Clutch Cargo's on 2003-03-27 2003-03-27 - Clutch Cargo's,Internet Archive
2002,Guster http://data.europeana.eu/agent/base/148438,SOUND,,netherlands,/2059210/data_sounds_gus2002_12_05_at853_shnf,Guster Live at Orpheum Theatre on 2002-12-05 2002-12-05 - Orpheum Theatre 2002-12-05 - Orpheum Theatre,Internet Archive
1997,Guster http://data.europeana.eu/agent/base/148438,SOUND,,netherlands,/2059210/data_sounds_gus1997_10_04_shnf,Guster Live at Princeton University on 1997-10-04 1997-10-04 - Princeton University 1997-10-04 - Princeton University,Internet Archive
2002,Greenstreet,SOUND,,netherlands,/2059210/data_sounds_greenstreet2002_11_22_shnf,Greenstreet Live at Stadium on 2002-11-22 2002-11-22 - Stadium 2002-11-22 - Stadium,Internet Archive
2014,Hecht Heiko Boyarskaya Evgenia Kitaoka Akiyoshi,TEXT,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.doiserbia.nb.rs%2Fimages%2Fdoi%2F00485705_0.jpg&size=LARGE&type=TEXT,serbia,/92040/BibliographicResource_3000135740219,The Mona Lisa effect: Testing the limits of perceptual robustness vis-à-vis slanted images,National Library of Serbia
2014,"Charney, Noah",TEXT,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Frevistas.ucm.es%2Fpublic%2Fjournals%2F52%2FhomepageImage_es_ES.jpg&size=LARGE&type=TEXT,spain,/9200102/BibliographicResource_3000095842655,"Pablo Picasso, ladrón de arte: “el caso de las estatuillas” y su papel en la fundación de la pintura moderna",Complutense University Library of Madrid
1987,"Falout, Nada",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fathena.muo.hr%2Fapi%2F%3Fsemantic%3Drepresentation%26id%3D4630&size=LARGE&type=IMAGE,croatia,/2048053/MUO_020830,MEĐUNARODNI DAN MUZEJA,"Muzej za umjetnost i obrt, Zagreb"
1951,,SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.mediathek.at%2Ftype%2Fapiimage%2Fatom%2F14C2D120-29D-002AA-00000E80-14C1C0B9&size=LARGE&type=SOUND,austria,/00902/14C2D120_29D_002AA_00000E80_14C1C0B9,Ich hab mich so an dich gewöhnt - La vie en rose - In der Cafeteria von Milano - Das machen nur die Beine von Dolores - Mona Lisa - Eine weiße Hochzeitskutsche - C'est si bon - Auf Wiedersehn,Österreichische Mediathek
1968,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstudiezaal.nijmegen.nl%2FHttpHandler%2Ficoon.ico%3Ficoonfromxmlbeschr%3D14521128&size=LARGE&type=IMAGE,netherlands,/2021651/ran__detail_aspx_xmldescid_14521128,Etiket Mona Lisa Toiletries,Regionaal Archief Nijmegen
1919,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstudiezaal.nijmegen.nl%2FHttpHandler%2Ficoon.ico%3Ficoonfromxmlbeschr%3D14296690&size=LARGE&type=IMAGE,netherlands,/2021651/ran__detail_aspx_xmldescid_14296690,Wikkel Savon Mona Lisa,Regionaal Archief Nijmegen
1968,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fstudiezaal.nijmegen.nl%2FHttpHandler%2Ficoon.ico%3Ficoonfromxmlbeschr%3D14291897&size=LARGE&type=IMAGE,netherlands,/2021651/ran__detail_aspx_xmldescid_14291897,Wikkel  Castella Mona Lisa,Regionaal Archief Nijmegen
1913,"Setzer, Franz Xaver",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bildarchivaustria.at%2FBildarchiv%2F%2FBA%2F859%2FB9323891T9323895.jpg&size=LARGE&type=IMAGE,austria,/92060/BibliographicResource_1000126007521,Damenporträt nach Art der Mona Lisa,Österreichische Nationalbibliothek - Austrian National Library
1975,"Groote Willink, Gerrit Jan (1946)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.collectiedeventermusea.nl%2Fwwwwopacx%2Fwwwopac.ashx%3Fcommand%3Dgetcontent%26server%3Dimages%26value%3Dgemeente%2520B%255CG0692.jpg&size=LARGE&type=IMAGE,netherlands,/2021659/G0692,Mona Lisa '75 ,Deventer Musea
2008,"Danielsson Malin , Högskolan Kristianstad, Enheten för lärarutbildning Hult Skoog Ida , Högskolan Kristianstad, Enheten för lärarutbildning",TEXT,,sweden,/9200111/BibliographicResource_1000085966910,Mona Lisa ler inte en undersökning av gymnasial historieundervisnings fokus,Uppsala University
1929,,TEXT,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdigital.ub.uni-duesseldorf.de%2Fdownload%2Fwebcache%2F1000%2F170346&size=LARGE&type=TEXT,germany,/09428/urn_nbn_de_hbz_061_1_4239,Das Lächeln der Mona Lisa / Kurt Tucholsky,Universitäts- und Landesbibliothek Düsseldorf
1915,"Dovsky, Beatrice",TEXT,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdigital.wlb-stuttgart.de%2Ffilegroups%2Fschimona_327020385%2Fdefault%2F00000001.jpg&size=LARGE&type=TEXT,germany,/09428/urn_nbn_de_bsz_24_digibib_bsz3270203857,Mona Lisa : Oper in zwei Akten; op. 31,Württembergische Landesbibliothek Stuttgart
2008,,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fvitruvio.imss.fi.it%2Ffoto%2Fisd%2Fav%2Fca_0864r_300.jpg&size=LARGE&type=IMAGE,italy,/02302/urn_imss_image_034753,"Codex Atlanticus, 864r. - An eye resembling that of the Mona Lisa and a study for the Medicean quarter in Florence: ""balls (Palazzo Medici), (San) Giovannino"", c. 1515. Codice Atlantico, 864r. - Un occhio simile a quello della Gioconda e studio per il quartiere mediceo in Firenze: ""palle (Palazzo Medici), (San) Giovannino"", c. 1515.",Museo Galileo - Istituto e Museo di Storia della Scienza
